date,temperature,latitude,longitude,Location,violation
11/6/16,58.25833333,41.81673,-87.743538,,161
11/17/16,58.225,41.81673,-87.743538,,82
10/23/16,57.9625,41.81673,-87.743538,,120
5/19/16,57.52916667,41.81673,-87.743538,,93
11/3/16,57.45714286,41.81673,-87.743538,,107
11/8/16,57.084,41.81673,-87.743538,,93
10/20/16,56.85333333,41.81673,-87.743538,,107
10/9/16,56.725,41.81673,-87.743538,,186
10/30/16,55.97297297,41.81673,-87.743538,,127
11/5/16,55.68,41.81673,-87.743538,,132
11/5/16,55.68,41.940243,-87.639641,,80
4/15/16,55.14583333,41.81673,-87.743538,,84
11/4/16,54.80740741,41.81673,-87.743538,,97
10/24/16,54.24166667,41.81673,-87.743538,,93
5/18/16,54.175,41.81673,-87.743538,,82
10/8/16,54.07083333,41.81673,-87.743538,,146
10/14/16,53.9,41.81673,-87.743538,,131
11/29/16,51.64193548,41.81673,-87.743538,,91
10/28/16,51.62083333,41.81673,-87.743538,,101
11/9/16,51.54583333,41.81673,-87.743538,,95
11/11/16,51.40416667,41.81673,-87.743538,,82
11/10/16,51.32916667,41.81673,-87.743538,,81
10/31/16,49.95,41.81673,-87.743538,,105
10/13/16,49.57241379,41.81673,-87.743538,,121
10/27/16,49.28787879,41.81673,-87.743538,,124
10/21/16,49.15384615,41.81673,-87.743538,,120
11/14/16,49.00833333,41.81673,-87.743538,,98
10/25/16,48.49583333,41.81673,-87.743538,,101
10/26/16,48.45294118,41.81673,-87.743538,,90
10/22/16,47.95416667,41.81673,-87.743538,,94
10/22/16,47.95416667,41.940243,-87.639641,,90
4/30/16,46.45428571,41.940243,-87.639641,,81
12/26/16,46.27027027,41.81673,-87.743538,,87
11/13/16,45.74166667,41.81673,-87.743538,,127
11/12/16,45.51304348,41.81673,-87.743538,,122
12/1/15,43.64285714,41.81673,-87.743538,,86
11/30/16,42.06153846,41.81673,-87.743538,,113
11/24/16,41.85,41.81673,-87.743538,,96
11/23/16,40.61290323,41.81673,-87.743538,,86
1/30/16,39.89583333,41.940243,-87.639641,,81
11/26/16,39.87692308,41.81673,-87.743538,,160
11/27/16,39.096875,41.81673,-87.743538,,165
11/28/15,38.93461538,41.81673,-87.743538,,100
11/19/16,38.91785714,41.81673,-87.743538,,143
12/1/16,38.86666667,41.81673,-87.743538,,101
3/20/16,38.775,41.81673,-87.743538,,85
11/29/15,37.21538462,41.81673,-87.743538,,108
3/25/16,35.94230769,41.81673,-87.743538,,88
12/24/16,35.64571429,41.81673,-87.743538,,94
11/22/16,35.51666667,41.81673,-87.743538,,111
12/29/16,34.96428571,41.81673,-87.743538,,112
12/3/16,34.57407407,41.81673,-87.743538,,117
12/4/16,33.03243243,41.81673,-87.743538,,96
12/23/16,32.89666667,41.81673,-87.743538,,140
12/28/16,32.7625,41.81673,-87.743538,,102
11/21/16,32.0125,41.81673,-87.743538,,110
12/30/16,30.8625,41.81673,-87.743538,,96
11/20/16,30.54615385,41.81673,-87.743538,,118
3/28/15,29.225,41.940243,-87.639641,,80
12/11/16,27.56774194,41.81673,-87.743538,,99
12/12/16,27.39444444,41.81673,-87.743538,,80
12/9/16,23.796,41.81673,-87.743538,,88
12/17/16,22.79302326,41.81673,-87.743538,,80
12/8/16,22.25833333,41.81673,-87.743538,,93
12/10/16,22,41.81673,-87.743538,,101
12/13/16,19.32666667,41.81673,-87.743538,,86
12/15/16,5.816666667,41.81673,-87.743538,,105
