date,temperature,latitude,longitude,Location,violation
9/11/14,56.548,41.880482,-87.755127,,2
9/11/14,56.548,41.881878,-87.745491,,4
9/11/14,56.548,41.880482,-87.755127,,6
9/11/14,56.548,41.887806,-87.765266,,1
9/11/14,56.548,41.88784,-87.765182,,4
9/11/14,56.548,41.880356,-87.764946,,3
9/11/14,56.548,41.998219,-87.660698,,7
9/11/14,56.548,41.985649,-87.655334,,7
9/11/14,56.548,41.985649,-87.655334,,18
9/11/14,56.548,41.9893,-87.670105,,6
9/11/14,56.548,41.9893,-87.670105,,2
9/11/14,56.548,41.765018,-87.663857,,2
9/11/14,56.548,41.779228,-87.674049,,2
9/11/14,56.548,41.779331,-87.683678,,1
9/11/14,56.548,41.779572,-87.664291,,2
9/11/14,56.548,41.76461,-87.683388,,5
9/11/14,56.548,41.779373,-87.664368,,3
9/11/14,56.548,41.771885,-87.683586,,9
9/11/14,56.548,41.764809,-87.683311,,3
9/11/14,56.548,41.779228,-87.674049,,3
9/11/14,56.548,41.764858,-87.66394,,2
9/11/14,56.548,41.779125,-87.683784,,1
9/11/14,56.548,41.772087,-87.68351,,2
9/11/14,56.548,41.916237,-87.667839,,4
9/11/14,56.548,41.916149,-87.667946,,16
9/11/14,56.548,41.903744,-87.64817,,8
9/11/14,56.548,41.903698,-87.648247,,18
9/11/14,56.548,41.953686,-87.719299,,1
9/11/14,56.548,41.961403,-87.688835,,14
9/11/14,56.548,41.946838,-87.688324,,4
9/11/14,56.548,41.954029,-87.708076,,4
9/11/14,56.548,41.932331,-87.678284,,3
9/11/14,56.548,41.946735,-87.708611,,3
9/11/14,56.548,41.954029,-87.708076,,4
9/11/14,56.548,41.946819,-87.688408,,9
9/11/14,56.548,41.946548,-87.708954,,1
9/11/14,56.548,41.932396,-87.678169,,4
9/11/14,56.548,41.93935,-87.707848,,10
9/11/14,56.548,41.780006,-87.625519,,9
9/11/14,56.548,41.837341,-87.704948,,5
9/11/14,56.548,41.844425,-87.705185,,2
9/11/14,56.548,41.851654,-87.724884,,3
9/11/14,56.548,41.848068,-87.73455,,6
9/11/14,56.548,41.837132,-87.704964,,4
9/11/14,56.548,41.844425,-87.705185,,2
9/11/14,56.548,41.778946,-87.703285,,1
9/11/14,56.548,41.778637,-87.722908,,2
9/11/14,56.548,41.764496,-87.702873,,1
9/11/14,56.548,41.779083,-87.703262,,2
9/11/14,56.548,41.764294,-87.702957,,6
9/11/14,56.548,41.778767,-87.722824,,1
9/11/14,56.548,41.990009,-87.748375,,1
9/11/14,56.548,41.990162,-87.72879,,2
9/11/14,56.548,41.989975,-87.748474,,1
9/11/14,56.548,41.990246,-87.728714,,6
9/11/14,56.548,41.750053,-87.682991,,4
9/11/14,56.548,41.74934,-87.722054,,4
9/11/14,56.548,41.74968,-87.721977,,3
9/11/14,56.548,41.889225,-87.632675,,1
9/11/14,56.548,41.891045,-87.620369,,2
9/11/14,56.548,41.891045,-87.620369,,12
9/11/14,56.548,41.881817,-87.647217,,3
9/11/14,56.548,41.881718,-87.647209,,4
9/11/14,56.548,41.81673,-87.743538,,1
9/11/14,56.548,41.81673,-87.743538,,19
9/11/14,56.548,41.968723,-87.688972,,3
9/11/14,56.548,41.976002,-87.689278,,9
9/11/14,56.548,41.975933,-87.689301,,1
9/11/14,56.548,41.968639,-87.689056,,5
9/11/14,56.548,41.895851,-87.686966,,2
9/11/14,56.548,41.903297,-87.677383,,9
9/11/14,56.548,41.895786,-87.686989,,4
9/11/14,56.548,41.903378,-87.667641,,9
9/11/14,56.548,41.903297,-87.677383,,4
9/11/14,56.548,41.895706,-87.702217,,3
9/11/14,56.548,41.903454,-87.667557,,1
9/11/14,56.548,41.895641,-87.702354,,10
9/11/14,56.548,41.881565,-87.666931,,8
9/11/14,56.548,41.881119,-87.686287,,5
9/11/14,56.548,41.876064,-87.686417,,23
9/11/14,56.548,41.88401,-87.701439,,5
9/11/14,56.548,41.750851,-87.624466,,23
9/11/14,56.548,41.758076,-87.624672,,2
9/11/14,56.548,41.7658,-87.605728,,1
9/11/14,56.548,41.756897,-87.586235,,4
9/11/14,56.548,41.773251,-87.585228,,8
9/11/14,56.548,41.773293,-87.586441,,8
9/11/14,56.548,41.756897,-87.586235,,9
9/11/14,56.548,41.751717,-87.57592,,3
9/11/14,56.548,41.896744,-87.631325,,4
9/11/14,56.548,41.896744,-87.631325,,11
9/11/14,56.548,41.92371,-87.795303,,2
9/11/14,56.548,41.92371,-87.795303,,7
9/11/14,56.548,42.005077,-87.690216,,5
9/11/14,56.548,42.012371,-87.690392,,1
9/11/14,56.548,41.736378,-87.625618,,15
9/11/14,56.548,41.735699,-87.663208,,6
9/11/14,56.548,41.750549,-87.644188,,5
9/11/14,56.548,41.736008,-87.64534,,8
9/11/14,56.548,41.750919,-87.624687,,5
9/11/14,56.548,41.735897,-87.663132,,10
9/11/14,56.548,41.750751,-87.644104,,1
9/11/14,56.548,41.736164,-87.625587,,10
9/11/14,56.548,41.758091,-87.624901,,6
9/11/14,56.548,41.736156,-87.645424,,8
9/11/14,56.548,41.79158,-87.585564,,11
9/11/14,56.548,41.79158,-87.585564,,14
9/11/14,56.548,41.779949,-87.62529,,4
9/11/14,56.548,41.954433,-87.662445,,3
9/11/14,56.548,41.954487,-87.662292,,4
9/11/14,56.548,41.95438,-87.669197,,2
9/11/14,56.548,41.909973,-87.726479,,1
9/11/14,56.548,41.924152,-87.756294,,2
9/11/14,56.548,41.909733,-87.746246,,1
9/11/14,56.548,41.923786,-87.785568,,6
9/11/14,56.548,41.931366,-87.766396,,4
9/11/14,56.548,41.924091,-87.766052,,1
9/11/14,56.548,41.924347,-87.746429,,1
9/11/14,56.548,41.924282,-87.746452,,4
9/11/14,56.548,41.909996,-87.726395,,2
9/11/14,56.548,41.931641,-87.746719,,1
9/11/14,56.548,41.909733,-87.746246,,1
9/11/14,56.548,41.917274,-87.726624,,2
9/11/14,56.548,41.931248,-87.776031,,1
9/11/14,56.548,41.931248,-87.776031,,2
9/11/14,56.548,41.917042,-87.746178,,4
9/11/14,56.548,41.910183,-87.736252,,5
9/11/14,56.548,41.931385,-87.766312,,1
9/11/14,56.548,41.923786,-87.785568,,7
9/11/14,56.548,41.924217,-87.75621,,3
9/11/14,56.548,41.909863,-87.736382,,4
9/11/14,56.548,41.924572,-87.726921,,1
9/11/14,56.548,41.924595,-87.726822,,4
9/11/14,56.548,41.931576,-87.746742,,5
9/11/14,56.548,41.932205,-87.697678,,29
9/11/14,56.548,41.925137,-87.677963,,6
9/11/14,56.548,41.932217,-87.688034,,3
9/11/14,56.548,41.917603,-87.687561,,5
9/11/14,56.548,41.924934,-87.68779,,6
9/11/14,56.548,41.910164,-87.711952,,2
9/11/14,56.548,41.910431,-87.687286,,3
9/11/14,56.548,41.910408,-87.68737,,10
9/11/14,56.548,41.917511,-87.707054,,9
9/11/14,56.548,41.917446,-87.707115,,2
9/11/14,56.548,41.932087,-87.712387,,3
9/11/14,56.548,41.917603,-87.687561,,3
9/11/14,56.548,41.932121,-87.697762,,3
9/11/14,56.548,41.895477,-87.726143,,2
9/11/14,56.548,41.89505,-87.745956,,7
9/11/14,56.548,41.902714,-87.726448,,2
9/11/14,56.548,41.895111,-87.745934,,2
9/11/14,56.548,41.902714,-87.726448,,1
9/11/14,56.548,41.721161,-87.662827,,3
9/11/14,56.548,41.692467,-87.642441,,4
9/11/14,56.548,41.692265,-87.642525,,4
9/11/14,56.548,41.692162,-87.663475,,3
9/11/14,56.548,41.692162,-87.663475,,8
9/11/14,56.548,41.721325,-87.662727,,4
9/11/14,56.548,41.975761,-87.787933,,8
9/11/14,56.548,41.975685,-87.788017,,3
9/11/14,56.548,41.940243,-87.639641,,69
9/11/14,56.548,41.94091,-87.639366,,8
9/11/14,56.548,41.885284,-87.721069,,4
9/11/14,56.548,41.885284,-87.721069,,9
9/11/14,56.548,41.880898,-87.720879,,4
9/11/14,56.548,41.714119,-87.643143,,2
9/11/14,56.548,41.721367,-87.643356,,3
9/11/14,56.548,41.677719,-87.642052,,9
9/11/14,56.548,41.714325,-87.643066,,5
9/11/14,56.548,41.677925,-87.641991,,2
9/11/14,56.548,41.721367,-87.643356,,2
9/11/14,56.548,41.848457,-87.67627,,3
9/11/14,56.548,41.851982,-87.685783,,8
9/11/14,56.548,41.837734,-87.665894,,9
9/11/14,56.548,41.837624,-87.665886,,8
9/11/14,56.548,41.837276,-87.695175,,3
9/11/14,56.548,41.867264,-87.646973,,3
9/11/14,56.548,41.867264,-87.646973,,16
9/11/14,56.548,41.867363,-87.63929,,6
9/11/14,56.548,41.830189,-87.685181,,4
9/11/14,56.548,41.80838,-87.68457,,2
9/11/14,56.548,41.80838,-87.68457,,8
9/11/14,56.548,41.80851,-87.665115,,3
9/11/14,56.548,41.801079,-87.683815,,4
9/11/14,56.548,41.79467,-87.630547,,7
9/11/14,56.548,41.830189,-87.685181,,4
9/11/14,56.548,41.80851,-87.665115,,2
9/11/14,56.548,41.79398,-87.684143,,6
9/11/14,56.548,41.794132,-87.664642,,2
9/11/14,56.548,41.793369,-87.684174,,10
9/11/14,56.548,41.802364,-87.723579,,2
9/11/14,56.548,41.807728,-87.743233,,7
9/11/14,56.548,41.808228,-87.704033,,2
9/11/14,56.548,41.793156,-87.723305,,1
