date,temperature,latitude,longitude,Location,violation
2/2/15,18.37272727,41.910164,-87.711952,,1
2/2/15,18.37272727,41.910408,-87.68737,,3
2/2/15,18.37272727,41.924934,-87.68779,,2
2/2/15,18.37272727,41.932205,-87.697678,,6
2/2/15,18.37272727,41.924934,-87.68779,,1
2/2/15,18.37272727,41.894897,-87.765541,,1
2/2/15,18.37272727,41.89505,-87.745956,,3
2/2/15,18.37272727,41.902714,-87.726448,,1
2/2/15,18.37272727,41.895477,-87.726143,,1
2/2/15,18.37272727,41.692162,-87.663475,,2
2/2/15,18.37272727,41.692265,-87.642525,,5
2/2/15,18.37272727,41.721161,-87.662827,,4
2/2/15,18.37272727,41.94091,-87.639366,,1
2/2/15,18.37272727,41.86628,-87.725235,,2
2/2/15,18.37272727,41.866142,-87.735092,,5
2/2/15,18.37272727,41.714325,-87.643066,,4
2/2/15,18.37272727,41.677719,-87.642052,,1
2/2/15,18.37272727,41.677925,-87.641991,,3
2/2/15,18.37272727,41.714119,-87.643143,,8
2/2/15,18.37272727,41.721367,-87.643356,,1
2/2/15,18.37272727,41.72197,-87.603348,,4
2/2/15,18.37272727,41.837624,-87.665886,,18
2/2/15,18.37272727,41.852142,-87.685753,,1
2/2/15,18.37272727,41.848457,-87.67627,,1
2/2/15,18.37272727,41.851982,-87.685783,,2
2/2/15,18.37272727,41.84808,-87.67588,,4
2/2/15,18.37272727,41.837276,-87.695175,,1
2/2/15,18.37272727,41.867264,-87.646973,,3
2/2/15,18.37272727,41.867176,-87.639374,,1
2/2/15,18.37272727,41.867363,-87.63929,,5
2/2/15,18.37272727,41.867264,-87.646973,,5
2/2/15,18.37272727,41.79398,-87.684143,,2
2/2/15,18.37272727,41.80851,-87.665115,,1
2/2/15,18.37272727,41.830189,-87.685181,,2
2/2/15,18.37272727,41.79467,-87.630547,,1
2/2/15,18.37272727,41.794132,-87.664642,,1
2/2/15,18.37272727,41.793369,-87.684174,,8
2/2/15,18.37272727,41.793156,-87.723305,,1
2/2/15,18.37272727,41.793419,-87.703697,,1
2/2/15,18.37272727,41.802364,-87.723579,,1
2/2/15,18.37272727,41.823097,-87.68502,,2
2/2/15,18.37272727,41.793312,-87.723221,,1
2/2/15,18.37272727,41.802364,-87.723579,,1
2/2/15,18.37272727,41.938683,-87.766563,,1
2/2/15,18.37272727,41.953144,-87.776924,,1
2/2/15,18.37272727,41.938084,-87.8069,,2
2/2/15,18.37272727,41.945812,-87.776649,,2
2/2/15,18.37272727,41.938107,-87.806808,,1
2/2/15,18.37272727,41.945339,-87.807152,,3
2/2/15,18.37272727,41.838535,-87.617043,,3
2/2/15,18.37272727,41.976414,-87.660011,,2
2/2/15,18.37272727,41.976433,-87.659935,,2
2/2/15,18.37272727,41.968987,-87.669518,,1
2/2/15,18.37272727,41.969025,-87.669594,,2
2/2/15,18.37272727,41.960522,-87.754372,,3
2/2/15,18.37272727,41.931896,-87.727104,,2
2/2/15,18.37272727,41.953758,-87.727699,,4
2/2/15,18.37272727,41.946163,-87.747215,,1
2/2/15,18.37272727,41.939137,-87.727333,,1
2/2/15,18.37272727,41.960617,-87.754639,,1
2/2/15,18.37272727,41.946163,-87.747215,,2
2/2/15,18.37272727,41.939205,-87.72731,,1
2/2/15,18.37272727,41.932446,-87.668541,,10
2/2/15,18.37272727,41.925541,-87.648911,,1
2/2/15,18.37272727,41.91103,-87.648338,,3
2/2/15,18.37272727,41.925194,-87.668297,,3
2/2/15,18.37272727,41.910942,-87.648422,,2
2/2/15,18.37272727,41.925194,-87.668297,,4
2/2/15,18.37272727,41.744152,-87.585945,,4
2/2/15,18.37272727,41.72258,-87.575294,,1
2/2/15,18.37272727,41.744316,-87.58532,,2
2/2/15,18.37272727,41.722378,-87.5755,,1
