date,temperature,longitude,latitude,Location,violation
7/1/14,72.29574468,-87.755127,41.880482,,19
7/1/14,72.29574468,-87.745491,41.881878,,10
7/1/14,72.29574468,-87.755127,41.880482,,9
7/1/14,72.29574468,-87.765266,41.887806,,13
7/1/14,72.29574468,-87.764946,41.880356,,2
7/1/14,72.29574468,-87.660614,41.998299,,1
7/1/14,72.29574468,-87.660698,41.998219,,19
7/1/14,72.29574468,-87.655334,41.985649,,28
7/1/14,72.29574468,-87.655334,41.985649,,7
7/1/14,72.29574468,-87.670105,41.9893,,2
7/1/14,72.29574468,-87.670105,41.9893,,12
7/1/14,72.29574468,-87.674049,41.779228,,1
7/1/14,72.29574468,-87.683586,41.771885,,15
7/1/14,72.29574468,-87.664719,41.793591,,7
7/1/14,72.29574468,-87.674049,41.779228,,6
7/1/14,72.29574468,-87.664368,41.779373,,4
7/1/14,72.29574468,-87.68351,41.772087,,2
7/1/14,72.29574468,-87.667946,41.916149,,4
7/1/14,72.29574468,-87.667839,41.916237,,1
7/1/14,72.29574468,-87.64817,41.903744,,1
7/1/14,72.29574468,-87.648247,41.903698,,36
7/1/14,72.29574468,-87.708611,41.946735,,6
7/1/14,72.29574468,-87.707848,41.93935,,1
7/1/14,72.29574468,-87.688324,41.946838,,9
7/1/14,72.29574468,-87.688835,41.961403,,9
7/1/14,72.29574468,-87.678169,41.932396,,2
7/1/14,72.29574468,-87.708076,41.954029,,2
7/1/14,72.29574468,-87.688408,41.946819,,9
7/1/14,72.29574468,-87.707848,41.93935,,25
7/1/14,72.29574468,-87.688324,41.946838,,1
7/1/14,72.29574468,-87.719299,41.953686,,1
7/1/14,72.29574468,-87.68795,41.932285,,2
7/1/14,72.29574468,-87.688744,41.961422,,4
7/1/14,72.29574468,-87.708076,41.954029,,4
7/1/14,72.29574468,-87.678284,41.932331,,8
7/1/14,72.29574468,-87.707718,41.939442,,8
7/1/14,72.29574468,-87.625519,41.780006,,6
7/1/14,72.29574468,-87.644928,41.779659,,2
7/1/14,72.29574468,-87.644928,41.779659,,6
7/1/14,72.29574468,-87.704948,41.837341,,2
7/1/14,72.29574468,-87.705185,41.844425,,3
7/1/14,72.29574468,-87.73455,41.848068,,6
7/1/14,72.29574468,-87.724907,41.851521,,1
7/1/14,72.29574468,-87.705185,41.844425,,1
7/1/14,72.29574468,-87.734505,41.847778,,11
7/1/14,72.29574468,-87.703285,41.778946,,1
7/1/14,72.29574468,-87.702873,41.764496,,4
7/1/14,72.29574468,-87.703262,41.779083,,2
7/1/14,72.29574468,-87.722908,41.778637,,3
7/1/14,72.29574468,-87.722824,41.778767,,3
7/1/14,72.29574468,-87.72879,41.990162,,1
7/1/14,72.29574468,-87.728714,41.990246,,9
7/1/14,72.29574468,-87.748375,41.990009,,1
7/1/14,72.29574468,-87.682991,41.750053,,3
7/1/14,72.29574468,-87.702446,41.74995,,2
7/1/14,72.29574468,-87.721977,41.74968,,24
7/1/14,72.29574468,-87.722054,41.74934,,2
7/1/14,72.29574468,-87.632675,41.889225,,7
7/1/14,72.29574468,-87.620369,41.891045,,12
7/1/14,72.29574468,-87.620369,41.891045,,23
7/1/14,72.29574468,-87.647217,41.881817,,7
7/1/14,72.29574468,-87.647209,41.881718,,4
7/1/14,72.29574468,-87.743538,41.81673,,2
7/1/14,72.29574468,-87.743538,41.81673,,45
7/1/14,72.29574468,-87.689278,41.976002,,7
7/1/14,72.29574468,-87.689301,41.975933,,2
7/1/14,72.29574468,-87.688972,41.968723,,1
7/1/14,72.29574468,-87.689056,41.968639,,3
7/1/14,72.29574468,-87.677383,41.903297,,12
7/1/14,72.29574468,-87.686966,41.895851,,2
7/1/14,72.29574468,-87.677383,41.903297,,8
7/1/14,72.29574468,-87.702217,41.895706,,2
7/1/14,72.29574468,-87.667641,41.903378,,11
